
Темный рыцарь,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),8.6  
Человек-Паук: Паутина Вселенных,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),8.4
Лига справедливости Зака Снайдера,Боевик (Экшен),Фантастика,Супергеройский,Новинки (2020–2025),7.8
Человек-паук: Нет пути домой,Боевик (Экшен),Фантастика,Супергеройский,Новинки (2020–2025),7.8
Бэтмен: начало,Боевик (Экшен),Криминал,Супергеройский,Современное кино (2000–2020),8.2
Мстители: Война бесконечности,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.9
Мстители: Финал,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),8.1  
Темный рыцарь: Возрождение легенды,Боевик (Экшен),Криминал,Супергеройский,Современное кино (2000–2020),9.0
Крепкий орешек,Боевик (Экшен),Криминал,Криминальный,Классика (до 2000 года),8.2
Spy x Family: Код «Белый»,Боевик (Экшен),Приключения,Шпионский,Новинки (2020–2025),7.8
Железный человек,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.9
Стражи Галактики,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),8.0  
Мстители,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.8
Человек-паук,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.6
Топ Ган: Мэверик,Боевик (Экшен),Военный,Военный,Новинки (2020–2025),7.8
Тор: Рагнарёк,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.6
Джон Уик 4,Боевик (Экшен),Криминал,Криминальный,Новинки (2020–2025),7.5
Терминатор,Боевик (Экшен),Фантастика,Фантастический,Классика (до 2000 года),8.1  
Первый Мститель: Противостояние,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.8
Человек-паук 2,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.7  
Бэтмен,Боевик (Экшен),Криминал,Супергеройский,Новинки (2020–2025),7.2
Первый мститель: Другая война,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.6
Миссия: невыполнима 7. Смертельная расплата,Боевик (Экшен),Триллер,Шпионский,Новинки (2020–2025),7.9
Блэйд 2,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.1
Мулан,Боевик (Экшен),Исторический,Военный,Новинки (2020–2025),6.4
Люди Икс 2,Боевик (Экшен),Фантастика,Супергеройский,Современное кино (2000–2020),7.6
Пипец,Боевик (Экшен),Криминал,Супергеройский,Современное кино (2000–2020),7.3
