
Побег из Шоушенка,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),9.1
Зеленая миля,Драма,Фэнтези,Философское,Классика (до 2000),9.1
Форрест Гамп,Драма,Исторический,Не применимо,Классика (до 2000 года),9.0
Список Шиндлера,Драма,Биографический,Грустное/Трагическое,Классика (до 2000 года),8.8
BTS: Yet to Come in Cinemas,Драма,Неважно,Вдохновляющее,Новинки (2020–2025),8.1
Паралимпиец,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.8
Человек с киноаппаратом,Драма,Неважно,Философское,Классика (до 2000 года),8.0
Зеленая книга,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.1
Изгой,Драма,Приключения,Психологическая,Современное кино (2000–2020),8.1  
Осенняя соната,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.1
Титаник,Драма,Исторический,Трагическое,Классика (до 2000),8.4  
Логан,Драма,Фантастика,Психологический,Современное кино (2000–2020),7.8  
Капернаум,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),8.0
Мистер Смит едет в Вашингтон,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),8.0
Великая иллюзия,Драма,Военный,Философское,Классика (до 2000 года),7.8  
Тейлор Свифт: The Eras Tour,Драма,Биографический,Музыкальное вдохновение,Новинки (2020–2025),7.8  
Джокер,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),8.0
Унесенные ветром,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.2
Вечное сияние чистого разума,Драма,Фантастика,Философское,Современное кино (2000–2020),8.1  
Вайолет Эвергарден. Фильм,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),8.1
Баллада о солдате,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.3
La Bohème,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.3
Одна жизнь,Драма,Биографический,Личная драма,Новинки (2020–2025),8.0  
Касабланка,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.4
Весна на Заречной улице,Драма,Исторический,Социальная драма,Классика (до 2000),7.6  
Ребекка,Драма,Триллер,Психологическое,Классика (до 2000),7.8  
Гроздья гнева,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.3
Реквием по мечте,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),8.0  
Однажды в Америке,Драма,Криминал,Психологическая,Классика (до 2000 года),8.4  
Горбун Собора Парижской Богоматери,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.7
