
Крестный отец,Криминал,Драма,Гангстерский,Классика (до 2000 года),8.7
Леон,Криминал,Драма,Гангстерский,Классика (до 2000 года),8.5
Крестный отец 2,Криминал,Драма,Гангстерский,Классика (до 2000 года),8.2
Джанго освобожденный,Криминал,Боевик (Экшен),Гангстерский,Современное кино (2000–2020),7.8
Поймай меня, если сможешь,Криминал,Биографический,Финансовые махинации,Современное кино (2000–2020),8.1
Отступники,Криминал,Триллер,Гангстерский,Современное кино (2000–2020),8.2
Лицо со шрамом,Криминал,Гангстерский,Гангстерский,Классика (до 2000 года),8.1
Джентльмены,Криминал,Комедия,Гангстерский,Современное кино (2000–2020),8.0
Брат,Криминал,Драма,Гангстерский,Классика (до 2000 года),8.3
Брат 2,Криминал,Боевик (Экшен),Гангстерский,Современное кино (2000–2020),8.2
Волк с Уолл-стрит,Криминал,Биографический,Финансовые махинации,Современное кино (2000–2020),8.0
Звук свободы,Криминал,Драма,Полицейский,Новинки (2020–2025),7.8
По закону,Криминал,Драма,Психологический,Современное кино (2000–2020),7.8  
Кровавый алмаз,Криминал,Боевик (Экшен),Финансовые махинации,Современное кино (2000–2020),7.9
Город грехов,Криминал,Триллер,Гангстерский,Современное кино (2000–2020),7.7
Лицо со шрамом,Криминал,Драма,Гангстерский,Классика (до 2000 года),8.4
Поцелуй смерти,Криминал,Полицейский,Финансовые махинации,Классика (до 2000 года),6.9
Китайский квартал,Криминал,Детектив,Финансовые махинации,Классика (до 2000 года),8.1
Гангстер,Криминал,Драма,Гангстерский,Современное кино (2000–2020),7.6
Крестный отец 3,Криминал,Драма,Гангстерский,Классика (до 2000 года),8.1
Банды Нью-Йорка,Криминал,Исторический,Гангстерский,Современное кино (2000–2020),7.7
Порок на экспорт,Криминал,Боевик (Экшен),Гангстерский,Современное кино (2000–2020),6.3
Манхэттенская мелодрама,Криминал,Мелодрама,Гангстерский,Классика (до 2000 года),7.4
Криминальный Город: Разборки В Пусане,Криминал,Боевик (Экшен),Полицейский,Новинки (2020–2025),6.7
Поезд на Юму,Криминал,Приключения,Гангстерский,Современное кино (2000–2020),7.4
Железная хватка,Криминал,Драма,Полицейский,Современное кино (2000–2020),7.4
Выстрел в пустоту,Криминал,Драма,Полицейский,Новинки (2020–2025),6.8
Криминальный город 2,Криминал,Боевик (Экшен),Полицейский,Новинки (2020–2025),7.1
Расплата,Криминал,Драма,Финансовые махинации,Современное кино (2000–2020),7.1
Город воров,Криминал,Драма,Гангстерский,Новинки (2020–2025),6.5
