
В Арктику,Приключения,Экстремальное выживание,Экзотические путешествия,Новинки (2020-2025),7.5  
Пираты Карибского моря: Проклятие черной жемчужины,Приключения,Фэнтези,Поиски сокровищ,Современное кино (2000–2020),8.3
Индиана Джонс: В поисках утраченного ковчега,Приключения,Боевик (Экшен),Поиски сокровищ,Классика (до 2000 года),8.2
Сокровища Сьерра Мадре,Приключения,Криминал,Поиски сокровищ,Классика (до 2000 года),8.0
Отважные капитаны,Приключения,Семейный,Семейная драма,Современное кино (2000–2020),7.8
Индиана Джонс и последний крестовый Поход,Приключения,Исторический,Поиски сокровищ,Классика (до 2000 года),8.2
Приключения Робин Гуда,Приключения,Исторический,Исторические квесты,Современное кино (2000–2020),5.6
Д'Артаньян и три мушкетёра,Приключения,Исторический,Исторические квесты,Классика (до 2000 года),8.1
Кинг Конг,Приключения,Фантастика,Экзотические путешествия,Современное кино (2000–2020),7.6
Только у ангелов есть крылья,Приключения,Драма,Экстремальное выживание,Классика (до 2000 года),7.6
Одиссея капитана Блада,Приключения,Исторический,Поиски сокровищ,Классика (до 2000 года),7.5
Сахара,Приключения,Боевик (Экшен),Поиски сокровищ,Современное кино (2000–2020),6.5
Пираты Карибского моря: Сундук мертвеца,Приключения,Фэнтези,Экзотические путешествия,Современное кино (2000–2020),8.0  
Джуманджи,Приключения,Фэнтези,Экстремальное выживание,Классика (до 2000 года),7.3
Пираты Карибского моря: На краю света,Приключения,Фэнтези,Поиски сокровищ,Современное кино (2000–2020),7.9
Шерлок Холмс: Игра теней,Приключения,Детектив,Экзотические путешествия,Современное кино (2000–2020),7.6
Ван-Пис: Красный,Приключения,Фантастика,Поиски сокровищ,Новинки (2020–2025),7.8
Мумия,Приключения,Исторический,Поиски сокровищ,Классика (до 2000 года),7.7
На гребне волны,Приключения,Драма,Экстремальное выживание,Классика (до 2000 года),7.0
Дон Кихот,Приключения,Исторический,Исторические квесты,Классика (до 2000 года),7.7
Пираты Карибского моря: На странных берегах,Приключения,Фэнтези,Поиски сокровищ,Современное кино (2000–2020),6.8
Белый плен,Приключения,Семейный,Экстремальное выживание,Современное кино (2000–2020),7.1
Зов предков,Приключения,Драма,Экстремальное выживание,Новинки (2020–2025),7.0
Приключения Тинтина: Тайна единорога,Приключения,Семейный,Поиски сокровищ,Современное кино (2000–2020),7.6
Мумия,Приключения,Фэнтези,Экзотические путешествия,Классика (до 2000 года),7.6
Королевство полной луны,Приключения,Драма,Экзотические путешествия,Современное кино (2000–2020),7.2
Кинг Конг,Приключения,Фантастика,Экзотические путешествия,Современное кино (2000–2020),7.6
Пираты Карибского моря: Мертвецы не рассказывают сказки,Приключения,Фэнтези,Поиски сокровищ,Современное кино (2000–2020),7.1
