
Остров проклятых,Триллер,Детектив,Психологический,Современное кино (2000–2020),8.0  
Бойцовский клуб,Триллер,Криминал,Психологический,Классика (до 2000 года),8.7
Молчание ягнят,Триллер,Детектив,Психологический,Классика (до 2000 года),8.1
М убийца,Триллер,Детектив,Психологический,Классика (до 2000 года),8.0
Семь,Триллер,Детектив,Психологический,Классика (до 2000 года),8.6  
Престиж,Триллер,Детектив,Психологический,Современное кино (2000–2020),8.5
Остров проклятых,Триллер,Детектив,Психологический,Современное кино (2000–2020),8.0
Игра,Триллер,Детектив,Психологический,Классика (до 2000 года),7.8
Схватка,Триллер,Криминал,Психологический,Классика (до 2000 года),8.6
Переводчик,Триллер,Криминал,Психологический,Современное кино (2000–2020),7.3
Завещание доктора Мабузе,Триллер,Криминал,Психологический,Классика (до 2000 года),7.6  
Исчезнувшая,Триллер,Детектив,Психологический,Современное кино (2000–2020),7.8  
Достать ножи,Триллер,Детектив,Психологический,Современное кино (2000–2020),7.8
Риф Ларго,Триллер,Детектив,Психологический,Новинки (2020–2025),6.5  
Лучшее предложение,Триллер,Детектив,Психологический,Современное кино (2000–2020),7.6
Газовый свет,Триллер,Детектив,Психологический,Классика (до 2000 года),7.8
Тень сомнения,Триллер,Детектив,Психологический,Классика (до 2000 года),8.1
Доктор Джекилл и мистер Хайд,Триллер,Фантастика,Психологический,Классика (до 2000 года),7.8
Невидимый гость,Триллер,Детектив,Психологический,Современное кино (2000–2020),7.8
Пленницы,Триллер,Детектив,Психологический,Современное кино (2000–2020),7.9
Бешеные псы,Триллер,Криминал,Психологический,Классика (до 2000 года),8.1  
Олдбой,Триллер,Психологический триллер,Психологическая,Современное кино (2000–2020),8.0  
Адвокат дьявола,Триллер,Криминал,Психологический,Классика (до 2000 года),8.0
