
Чужой,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),8.0
Невеста Франкенштейна,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),7.4
Носферату, симфония ужаса,Ужасы,Неважно,Сверхъестественные,Классика (до 2000 года),7.4
Франкенштейн,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),7.6
Сияние,Ужасы,Триллер,Психологические,Классика (до 2000 года),7.8
Заклятие,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),7.6
Человек-невидимка,Ужасы,Фантастика,Психологические,Новинки (2020–2025),6.3
Сонная лощина,Ужасы,Детектив,Сверхъестественные,Классика (до 2000 года),7.4
Мама,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),6.3
Поезд в Пусан,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),7.8
От заката до рассвета,Ужасы,Криминал,Сверхъестественные,Классика (до 2000 года),7.4
Доктор Сон,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),6.7
Пила 10,Ужасы,Триллер,Кровавые слэшеры,Новинки (2020–2025),6.8
Два, три, демон, приди!,Ужасы,Фэнтези,Сверхъестественные,Новинки (2020–2025),5.8
Дракула,Ужасы,Исторический,Сверхъестественные,Классика (до 2000 года),7.8
Суини Тодд, демон-парикмахер с Флит-стрит,Ужасы,Драма,Кровавые слэшеры,Современное кино (2000–2020),7.7
Прочь,Ужасы,Триллер,Психологические,Современное кино (2000–2020),7.4
Ужасная правда,Ужасы,Триллер,Психологические,Современное кино (2000–2020),6.0
Рассвет мертвецов,Ужасы,Фантастика,Сверхъестественные,Классика (до 2000 года),7.8
Заклятие 2,Ужасы,Детектив,Сверхъестественные,Современное кино (2000–2020),6.7
Сплит,Ужасы,Триллер,Психологические,Современное кино (2000–2020),6.9
Пила: игра на выживание,Ужасы,Триллер,Психологические,Современное кино (2000–2020),7.4
Погребенный заживо,Ужасы,Триллер,Психологические,Современное кино (2000–2020),6.7
Оно,Ужасы,Сверхъестественные,Сверхъестественные,Современное кино (2000–2020),7.3  
Тихое место 2,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),6.8
До рассвета,Ужасы,Триллер,Сверхъестественные,Новинки (2020–2025),5.5
Астрал,Ужасы,Триллер,Сверхъестественные,Современное кино (2000–2020),6.9
Мгла,Ужасы,Сверхъестественные,Психологические,Современное кино (2000–2020),7.2  
