
Начало,Фантастика,Боевик (Экшен),Альтернативная реальность,Современное кино (2000–2020),8.7
Матрица,Фантастика,Боевик (Экшен),Киберпанк,Классика (до 2000 года),8.7
Терминатор 2: Судный день,Фантастика,Боевик (Экшен),Постапокалипсис,Классика (до 2000 года),8.2
Назад в будущее,Фантастика,Приключения,Альтернативная реальность,Классика (до 2000 года),8.5
Стражи Галактики. Часть 3,Фантастика,Боевик (Экшен),Космическая,Новинки (2020–2025),7.9
Астроскоп. Смотрим на звезды,Фантастика,Приключения,Космическая,Новинки (2020–2025),7.5
ВАЛЛ-И,Фантастика,Семейный,Постапокалипсис,Современное кино (2000–2020),8.2
Интерстеллар,Фантастика,Космическая драма,Научные исследования,Современное кино (2000–2020),8.6  
Аватар,Фантастика,Приключения,Экзотические миры,Современное кино (2000–2020),7.8  
Чужие,Фантастика,Боевик (Экшен),Космическая,Классика (до 2000 года),7.8
Люди Икс: Дни минувшего будущего,Фантастика,Боевик (Экшен),Альтернативная реальность,Современное кино (2000–2020),7.6
Человек-паук: Через вселенные,Фантастика,Приключения,Альтернативная реальность,Современное кино (2000–2020),8.1
Аватар 2: Путь воды,Фантастика,Приключения,Альтернативная реальность,Новинки (2020–2025),7.3
