
Унесенные призраками,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),8.7
Властелин Колец: Две крепости,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.4
Властелин Колец: Возвращение Короля,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.6
Ходячий замок,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),8.7
Твое имя,Фэнтези,Драма,Эпическое,Современное кино (2000–2020),8.5
Истребитель демонов: Поезд «Бесконечный»,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Гарри Поттер и Дары смерти. Часть вторая,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Принцесса Мононоке,Фэнтези,Мифологическое,Экологическая драма,Классика (до 2000 года),8.7
Обыкновенное чудо,Фэнтези,Семейный,Мифологическое,Классика (до 2000 года),8.4
Судзумэ, закрывающая двери,Фэнтези,Приключения,Мифологическое,Новинки (2020–2025),7.8
Красавица и чудовище,Фэнтези,Семейный,Мифологическое,Современное кино (2000-2020),7.3
Хоббит: Нежданное путешествие,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.9
Гарри Поттер и узник Азкабана,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Аладдин,Фэнтези,Приключения,Мифологическое,Современное кино (2000–2020),7.2  
Мальчик и птица,Фэнтези,Драма,Мифологическое,Новинки (2020–2025),7.8
Гарри Поттер и кубок огня,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Гарри Поттер и философский камень,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),8.1
Как приручить дракона 3,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Небесный замок Лапута,Фэнтези,Приключения,Эпическое,Классика (до 2000 года),8.1
Хеллбой: Герой из пекла,Фэнтези,Боевик (Экшен),Не применимо,Современное кино (2000–2020),5.9  
Гарри Поттер и Дары смерти. Часть первая,Фэнтези,Приключения,Темное,Современное кино (2000–2020),7.8
Хоббит: Пустошь Смауга,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8
Доктор Стрэндж,Фэнтези,Боевик (Экшен),Эпическое,Современное кино (2000–2020),7.8
Кошмар перед Рождеством,Фэнтези,Темное,Темное,Классика (до 2000 года),8.1
Гарри Поттер и Тайная Комната,Фэнтези,Приключения,Эпическое,Современное кино (2000–2020),7.8  
