Название,Жанр,Выберите поджанр:,Какое настроение ты ищешь?,Временной период:,Рейтинг
Побег из Шоушенка,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),9.11
Зеленая миля,Драма,Фэнтези,Философское,Классика (до 2000 года),9.077
Форрест Гамп,Драма,Исторический,Вдохновляющее,Классика (до 2000 года),8.921
Список Шиндлера,Драма,Биографический,Грустное/Трагическое,Классика (до 2000 года),8.849
BTS: Yet to Come in Cinemas,Драма,Неважно,Вдохновляющее,Новинки (2020–2025),9.171
Паралимпиец,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.628
Человек с киноаппаратом,Драма,Неважно,Философское,Классика (до 2000 года),8.479
Зеленая книга,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.528
Изгой,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),8.254
Осенняя соната,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.019
Титаник,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.387
Логан,Драма,Фантастика,Грустное/Трагическое,Современное кино (2000–2020),7.67
Капернаум,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),8.156
Мистер Смит едет в Вашингтон,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),7.841
Великая иллюзия,Драма,Военный,Философское,Классика (до 2000 года),7.793
Тейлор Свифт: The Eras Tour,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),8.583
Джокер,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.996
Унесенные ветром,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.489
Вечное сияние чистого разума,Драма,Фантастика,Философское,Современное кино (2000–2020),8.045
Вайолет Эвергарден. Фильм,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),8.392
Баллада о солдате,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.316
La Bohème,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.947
Одна жизнь,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),8.538
Касабланка,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.034
Весна на Заречной улице,Драма,Исторический,Другое,Классика (до 2000 года),8.1
Ребекка,Драма,Триллер,Грустное/Трагическое,Классика (до 2000 года),7.875
Гроздья гнева,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.556
Реквием по мечте,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),8.014
Однажды в Америке,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.275
Горбун Собора Парижской Богоматери,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.137
Отец,Драма,Психологическая драма,Грустное/Трагическое,Новинки (2020–2025),7.828
Похитители велосипедов,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),7.937
До свидания, мистер Чипс,Драма,Биографический,Вдохновляющее,Классика (до 2000 года),7.027
Американская история Х,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.294
Дневник памяти,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),8.251
Пролетая над гнездом кукушки,Драма,Психологическая драма,Грустное/Трагическое,Классика (до 2000 года),8.509
Загадочная история Бенджамина Баттона,Драма,Фантастика,Философское,Современное кино (2000–2020),8.071
Эта замечательная жизнь,Драма,Фэнтези,Вдохновляющее,Классика (до 2000 года),8.442
Сибириада,Драма,Исторический,Философское,Классика (до 2000 года),8.187
Я шагаю по Москве,Драма,Исторический,Вдохновляющее,Классика (до 2000 года),8.066
Неотправленное письмо,Драма,Приключения,Грустное/Трагическое,Классика (до 2000 года),7.743
Человек дождя,Драма,Биографический,Философское,Классика (до 2000 года),8.238
Паразиты,Драма,Криминал,Философское,Современное кино (2000–2020),8.046
Шоу Трумана,Драма,Фантастика,Вдохновляющее,Современное кино (2000–2020),8.282
Рокки,Драма,Спортивная драма,Вдохновляющее,Классика (до 2000 года),8.02
Черный лебедь,Драма,Триллер,Грустное/Трагическое,Современное кино (2000–2020),6.499
Миллионер из трущоб,Драма,Криминал,Вдохновляющее,Современное кино (2000–2020),7.756
Где ты, Адам?,Драма,Психологическая драма,Философское,Новинки (2020–2025),7.962
Король говорит!,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.051
Раннее лето,Драма,Семейный,Философское,Классика (до 2000 года),0
Дом, в котором я живу,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.259
Черный нарцисс,Драма,Неважно,Грустное/Трагическое,Классика (до 2000 года),6.854
Большие надежды,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),6.787
Три билборда на границе Эббинга, Миссури,Драма,Криминал,Философское,Современное кино (2000–2020),8.139
Судьба человека,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.485
Маленькие женщины,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),7.809
Белая птица. Новое чудо,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),8.415
Ромео и Джульетта,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.207
Банши Инишерина,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),7.489
Сладкая жизнь,Драма,Неважно,Философское,Классика (до 2000 года),7.852
Письмо трем женам,Драма,Мелодрама,Философское,Классика (до 2000 года),7.243
