Название,Жанр,Выберите поджанр:,Что тебя увлекает больше?:,Временной период:,Рейтинг
Начало,Фантастика,Боевик (Экшен),Альтернативная реальность,Современное кино (2000–2020),8.7
Матрица,Фантастика,Боевик (Экшен),Киберпанк,Классика (до 2000 года),8.7
Терминатор 2: Судный день,Фантастика,Боевик (Экшен),Постапокалипсис,Классика (до 2000 года),8.2
Назад в будущее,Фантастика,Приключения,Альтернативная реальность,Классика (до 2000 года),8.5
Стражи Галактики. Часть 3,Фантастика,Боевик (Экшен),Космическая,Новинки (2020–2025),7.9
Астроскоп. Смотрим на звезды,Фантастика,Приключения,Космическая,Новинки (2020–2025),7.5
ВАЛЛ-И,Фантастика,Семейный,Постапокалипсис,Современное кино (2000–2020),8.2
Интерстеллар,Фантастика,Приключения,Космическая,Современное кино (2000–2020),8.6  
Аватар,Фантастика,Приключения,Другое,Современное кино (2000–2020),7.8  
Чужие,Фантастика,Боевик (Экшен),Космическая,Классика (до 2000 года),7.8
Люди Икс: Дни минувшего будущего,Фантастика,Боевик (Экшен),Альтернативная реальность,Современное кино (2000–2020),7.6
Человек-паук: Через вселенные,Фантастика,Приключения,Альтернативная реальность,Современное кино (2000–2020),8.1
Аватар 2: Путь воды,Фантастика,Приключения,Альтернативная реальность,Новинки (2020–2025),7.3
Грань будущего,Фантастика,Боевик (Экшен),Другое,Современное кино (2000–2020),7.9
Люди Икс: Первый класс,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),7.0
Пятый элемент,Фантастика,Боевик (Экшен),Космическая,Классика (до 2000 года),7.7
Тайна третьей планеты,Фантастика,Приключения,Космическая,Классика (до 2000 года),7.8  
Метрополис,Фантастика,Драма,Альтернативная реальность,Классика (до 2000 года),7.8
Назад в будущее 3,Фантастика,Комедия,Альтернативная реальность,Классика (до 2000 года),8.3
Апокалипсис,Фантастика,Боевик (Экшен),Постапокалипсис,Новинки (2020–2025),7.8
Район №9,Фантастика,Драма,Альтернативная реальность,Современное кино (2000–2020),7.7
Стражи Галактики. Часть 2,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),7.9
Марсианин,Фантастика,Приключения,Космическая,Современное кино (2000–2020),8.2
Области тьмы,Фантастика,Триллер,Другое,Современное кино (2000–2020),7.3  
Дюна,Фантастика,Фэнтези,Альтернативная реальность,Новинки (2020–2025),7.9  
Господин Никто,Фантастика,Драма,Альтернативная реальность,Современное кино (2000–2020),7.6
Звездные Войны: Эпизод III - Месть ситхов,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),7.6
Я - легенда,Фантастика,Боевик (Экшен),Постапокалипсис,Современное кино (2000–2020),7.6
Звездный путь,Фантастика,Приключения,Космическая,Современное кино (2000–2020),7.6
Первому игроку приготовиться,Фантастика,Приключения,Альтернативная реальность,Современное кино (2000–2020),7.2
Восстание планеты обезьян,Фантастика,Драма,Постапокалипсис,Современное кино (2000–2020),7.6
Алита: Боевой ангел,Фантастика,Боевик (Экшен),Киберпанк,Современное кино (2000–2020),7.1
Особое мнение,Фантастика,Триллер,Альтернативная реальность,Современное кино (2000–2020),7.9
Звездные Войны: Войны клонов,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),7.6
Исходный код,Фантастика,Триллер,Альтернативная реальность,Современное кино (2000–2020),7.2
Доктор Стрэндж: В мультивселенной безумия,Фантастика,Боевик (Экшен),Альтернативная реальность,Новинки (2020–2025),6.9
2001 год: Космическая одиссея,Фантастика,Приключения,Космическая,Классика (до 2000 года),7.8
Апгрейд,Фантастика,Триллер,Киберпанк,Современное кино (2000–2020),7.0  
Бегущий по лезвию,Фантастика,Триллер,Киберпанк,Классика (до 2000 года),8.1
Пассажиры,Фантастика,Драма,Космическая,Современное кино (2000–2020),7.0
Вспомнить все,Фантастика,Боевик (Экшен),Альтернативная реальность,Классика (до 2000 года),7.8
Эквилибриум,Фантастика,Боевик (Экшен),Альтернативная реальность,Современное кино (2000–2020),7.4
12 обезьян,Фантастика,Триллер,Постапокалипсис,Классика (до 2000 года),7.9
Бегущий по лезвию 2049,Фантастика,Детектив,Киберпанк,Современное кино (2000–2020),7.6
Марс Экспресс,Фантастика,Приключения,Космическая,Новинки (2020–2025),7.8  
Я, робот,Фантастика,Боевик (Экшен),Киберпанк,Современное кино (2000–2020),7.1
Прибытие,Фантастика,Драма,Альтернативная реальность,Современное кино (2000–2020),7.5
Голодные игры: Баллада о певчих птицах и змеях,Фантастика,Приключения,Постапокалипсис,Новинки (2020–2025),6.9
Гравитация,Фантастика,Драма,Космическая,Современное кино (2000–2020),7.7
Голодные игры: И вспыхнет пламя,Фантастика,Боевик (Экшен),Постапокалипсис,Современное кино (2000–2020),7.3
Изгой-Один. Звёздные Войны: Истории,Фантастика,Боевик (Экшен),Космическая,Современное кино (2000–2020),6.8
Обливион,Фантастика,Боевик (Экшен),Постапокалипсис,Современное кино (2000–2020),7.0
Время,Фантастика,Триллер,Альтернативная реальность,Современное кино (2000–2020),7.1
